,S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
552,588,2015-02-19 15:25:31,3,3,3,2,1,2,2,Very difficult,2,3,2,2,2,PC,18,I play for fun,improving,S2,14,2,1,1,3,2,1,0,1,2,0,2,0,1,2,1,0,1,1,Male,19,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,16,11,20
553,589,2015-02-19 15:25:34,0,0,1,0,0,0,1,Not difficult at all,5,5,4,4,3,PC,20,I play for fun,improving,Platin,4,1,1,2,1,0,1,1,2,3,1,0,0,0,1,1,1,2,1,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,2,21,18
554,590,2015-02-19 15:25:41,0,0,1,0,0,0,0,Not difficult at all,2,6,6,2,7,PC,8,I play for fun,having fun,Gold V,6,2,3,1,0,0,0,0,3,3,0,3,1,0,1,0,0,2,2,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,1,23,19
556,592,2015-02-19 15:25:47,1,1,1,1,0,1,0,Somewhat difficult,6,6,6,6,6,PC,21,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",relaxing,diamond,4,0,1,0,2,2,2,2,0,1,1,2,1,0,2,2,0,0,2,Male,27,Employed,Multiplayer - online - with real life friends,Accept,5,30,18
558,594,2015-02-19 15:25:57,2,1,2,1,3,1,1,Somewhat difficult,2,2,1,6,1,PC,3,I play for fun,winning,Silver III,20,1,0,4,4,4,4,1,4,2,4,0,1,0,4,4,0,4,2,Female,21,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,11,12,41
560,596,2015-02-19 15:26:09,3,2,2,3,1,3,2,Extremely difficult,2,6,2,4,5,PC,20,I play for fun,having fun,Silver 1,15,1,1,1,4,4,3,1,2,4,4,2,2,2,1,1,4,1,1,Male,25,Student at college / university,Multiplayer - online - with strangers,Accept,16,19,38
561,597,2015-02-19 15:26:15,0,1,1,0,0,0,0,Not difficult at all,3,4,4,4,3,PC,5,I play for fun,having fun,Platinum,3,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,Male,28,Employed,Multiplayer - online - with real life friends,Accept,2,18,5
565,601,2015-02-19 15:26:39,2,1,1,1,0,1,1,Somewhat difficult,5,4,5,3,3,PC,12,I play for fun,having fun,Silver 1,15,1,1,2,1,3,1,1,2,3,1,1,3,0,2,0,1,2,1,Female,24,Employed,Multiplayer - online - with strangers,Accept,7,20,25
566,602,2015-02-19 15:26:40,3,3,3,3,3,3,3,Somewhat difficult,5,5,5,5,7,PC,20,I play for fun,winning,Silver 1,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Male,23,Employed,Multiplayer - online - with strangers,Accept,21,27,2
567,603,2015-02-19 15:26:48,2,2,2,2,1,2,3,Very difficult,3,7,3,3,2,PC,20,I play for fun,having fun,Unranked,2,1,4,0,2,1,1,1,0,2,0,3,0,1,3,1,0,3,2,Male,23,Student at college / university,Multiplayer - online - with real life friends,Accept,14,18,23
568,604,2015-02-19 15:26:54,1,0,1,0,0,1,0,Not difficult at all,4,4,3,3,2,PC,20,I play for fun,relaxing,Gold 4,10,0,1,0,1,1,0,0,1,1,0,2,1,0,1,0,0,0,1,Male,29,Employed,Multiplayer - online - with strangers,Accept,3,16,9
569,606,2015-02-19 15:27:01,0,0,1,0,0,1,0,Somewhat difficult,2,2,3,2,1,PC,8,I play for fun,having fun,Gold IV,2,1,3,3,4,3,4,4,3,3,3,4,4,0,3,4,1,3,4,Male,21,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,2,10,50
570,607,2015-02-19 15:27:01,0,0,0,0,0,0,0,Not difficult at all,4,5,6,6,5,PC,12,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Silver,12,0,0,0,3,2,0,0,3,1,0,0,0,0,0,0,0,0,2,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,0,26,9
571,608,2015-02-19 15:27:03,0,0,0,1,0,0,0,Not difficult at all,6,6,6,6,6,PC,28,I play for fun,relaxing,Diamond (LoL),4,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,4,Male,24,Student at college / university,It's really a bit of all,Accept,1,30,6
572,609,2015-02-19 15:27:10,1,0,1,0,0,2,0,Not difficult at all,4,6,4,2,4,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Platinum 1,4,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,Male,18,Employed,Multiplayer - online - with real life friends,Accept,4,20,7
576,613,2015-02-19 15:27:27,3,3,3,3,3,3,3,Extremely difficult,1,2,5,1,5,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",playing well,diamond,2,4,0,4,4,2,4,1,4,4,4,4,1,0,2,1,1,0,1,Male,19,Student at college / university,multiplayer online with online friends,Accept,21,14,40
577,614,2015-02-19 15:27:28,1,1,1,1,1,2,0,Not difficult at all,1,7,3,1,3,PC,80,I play for fun,improving,"diamond sc, mg2 csgo",7,0,4,0,2,2,1,0,1,1,0,0,0,0,1,4,1,0,1,Male,21,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,7,15,17
578,615,2015-02-19 15:27:29,1,2,3,1,2,2,1,Very difficult,3,4,3,2,1,PC,13,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond V,7,0,1,0,1,0,0,0,0,3,0,4,0,0,1,3,0,0,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,12,13,13
580,617,2015-02-19 15:27:33,0,0,0,0,0,3,1,Somewhat difficult,3,6,6,3,2,PC,20,I play for fun,winning,Platinum 5,20,1,0,0,1,1,1,0,1,0,2,2,1,0,2,1,0,0,1,Male,21,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,20,13
581,619,2015-02-19 15:27:35,1,0,1,1,0,0,1,Somewhat difficult,5,4,5,5,3,PC,25,I play for fun,having fun,Silver,20,2,1,1,2,0,2,1,2,2,2,2,1,0,1,1,2,1,1,Male,23,Employed,Multiplayer - online - with strangers,Accept,4,22,23
582,620,2015-02-19 15:27:37,0,0,0,0,0,0,0,Not difficult at all,5,5,5,5,6,PC,15,I play for fun,improving,Bronze 1,5,0,1,2,1,1,1,1,2,2,1,1,1,0,0,1,0,0,2,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,0,26,15
583,621,2015-02-19 15:27:39,3,3,3,0,3,3,3,Somewhat difficult,3,3,3,3,3,PC,60,wants money but dont get it.,winning + having fun,Diamond 4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,Male,21,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,18,15,17
584,622,2015-02-19 15:27:48,1,1,1,1,1,3,2,Very difficult,2,2,2,2,2,PC,30,I play for fun,improving,silver 3,10,0,3,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,Male,18,Student at school,Multiplayer - online - with strangers,Accept,10,10,11
585,623,2015-02-19 15:27:51,0,0,0,0,0,1,0,Not difficult at all,6,7,6,6,5,PC,15,I play for fun,having fun,diamond,15,1,1,2,3,2,2,1,3,2,2,2,0,0,1,2,1,2,1,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,1,30,27
586,625,2015-02-19 15:28:08,1,1,2,0,0,1,0,Somewhat difficult,2,6,4,2,1,PC,42,I play for fun,improving,Diamond V,1,1,1,0,2,1,2,3,1,2,0,3,0,1,1,0,1,1,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,5,15,20
588,629,2015-02-19 15:29:07,2,2,2,2,1,2,1,Somewhat difficult,1,1,3,1,1,PC,9,I play for fun,having fun,Platinum,5,1,1,1,1,2,1,2,0,0,0,0,0,0,0,1,0,2,1,Male,22,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,12,7,12
589,630,2015-02-19 15:29:09,0,0,0,1,2,2,0,Not difficult at all,6,7,6,4,4,PC,47,I play for fun,improving,Silver,3,0,3,1,4,0,2,0,4,3,0,2,0,0,3,2,0,0,2,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,5,27,24
590,631,2015-02-19 15:29:10,1,1,1,1,0,0,0,Somewhat difficult,5,5,4,4,3,PC,20,I play for fun,improving,Silver 1,15,1,3,2,3,1,1,1,1,2,2,2,1,1,2,2,0,3,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,4,21,28
591,633,2015-02-19 15:29:11,0,0,0,0,0,0,0,Not difficult at all,6,6,7,7,6,PC,21,I play for fun,improving,Platinum,14,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,Male,18,Student at school,Multiplayer - online - with strangers,Accept,0,32,4
594,636,2015-02-19 15:29:18,0,1,2,0,0,0,1,Somewhat difficult,2,5,3,5,1,PC,30,I play for fun,having fun,Diamond,5,1,1,0,2,1,1,1,1,3,1,4,1,1,2,0,1,1,2,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,4,16,22
595,637,2015-02-19 15:29:24,0,1,1,0,0,0,0,Somewhat difficult,6,6,5,6,7,PC,30,I play for fun,improving,Master,30,2,0,0,1,2,1,0,1,1,0,1,2,0,0,1,1,0,1,Male,24,Unemployed / between jobs,Singleplayer,Accept,2,30,13
596,638,2015-02-19 15:29:28,3,3,3,2,1,3,1,Very difficult,3,3,2,2,1,PC,40,I play for fun,improving,Diamond (starcraft 2),10,0,0,2,2,2,3,1,4,2,2,1,0,1,1,1,0,1,4,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,16,11,23
597,639,2015-02-19 15:29:29,1,1,1,1,0,2,3,Very difficult,2,1,3,2,1,PC,12,I play for fun,having a distraction,diamond v,3,0,2,2,4,2,4,0,2,4,4,4,1,0,3,3,4,3,2,Female,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,9,9,42
599,641,2015-02-19 15:29:46,1,1,1,0,0,1,0,Somewhat difficult,3,4,3,1,2,PC,35,I play for fun,having fun,Diamond 2,7,2,3,1,0,2,1,0,0,2,1,3,2,0,1,2,1,1,2,Male,20,Student at school,Multiplayer - online - with strangers,Accept,4,13,22
600,642,2015-02-19 15:29:46,0,1,1,0,0,1,0,Not difficult at all,5,6,5,4,4,PC,20,I play for fun,having fun,Platinum,20,1,2,0,0,3,4,1,0,0,0,1,3,0,1,3,1,0,3,Male,21,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,3,24,20
601,643,2015-02-19 15:29:47,1,1,1,1,0,2,2,Somewhat difficult,3,7,5,2,6,PC,28,I play for fun,improving,platinum,4,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,8,23,5
603,645,2015-02-19 15:30:01,1,0,2,2,0,1,0,Very difficult,1,1,1,1,1,PC,20,I play for fun,improving,diamond,2,0,2,3,3,0,3,1,3,4,1,4,0,1,3,3,1,3,1,Male,20,Student at college / university,Singleplayer,Accept,6,5,35
604,646,2015-02-19 15:30:03,1,0,1,1,0,0,0,Somewhat difficult,5,6,6,5,2,PC,4,I play for fun,having fun,unranked,10,0,2,1,1,2,2,2,1,1,1,4,1,0,2,2,0,0,2,Male,23,Employed,Multiplayer - online - with real life friends,Accept,3,24,22
605,647,2015-02-19 15:30:07,1,1,0,1,0,0,0,Not difficult at all,3,6,2,4,1,PC,7,I play for fun,improving,Diamond,3,3,2,2,3,2,4,3,1,3,2,4,3,1,3,4,3,0,3,Male,23,Employed,Multiplayer - online - with strangers,Accept,3,16,43
607,649,2015-02-19 15:30:10,1,2,2,1,0,1,0,Somewhat difficult,4,3,6,2,1,PC,4,I play for fun,winning,Bronze,3,1,1,0,1,2,1,0,1,1,0,1,3,1,1,3,1,1,4,Female,19,Student at college / university,Multiplayer - online - with strangers,Accept,7,16,19
608,650,2015-02-19 15:30:12,1,0,1,0,1,2,2,Not difficult at all,5,7,6,6,5,PC,35,I play for fun,winning,Plat ,15,0,0,4,4,4,3,2,4,4,2,4,2,0,3,2,2,2,2,Male,18,Employed,Multiplayer - online - with real life friends,Accept,7,29,42
609,651,2015-02-19 15:30:11,0,1,1,1,1,1,0,Not difficult at all,2,3,3,3,3,PC,14,I play for fun,relaxing,Platinum 3 ,7,2,2,1,3,3,1,0,2,3,2,3,3,2,3,1,1,2,3,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,5,14,34
610,652,2015-02-19 15:30:16,2,1,2,2,0,0,0,Somewhat difficult,1,3,3,3,1,PC,20,I play for fun,improving,Gold V,3,1,0,1,1,0,1,0,0,0,0,2,3,0,0,0,0,1,5,Male,25,Employed,Multiplayer - online - with strangers,Accept,7,11,10
611,653,2015-02-19 15:30:26,2,3,3,3,3,3,0,Very difficult,3,6,4,2,1,PC,120,I play for fun,improving,Platinium,20,0,4,3,4,1,3,4,4,4,4,3,3,4,4,0,3,4,2,Male,23,Employed,Multiplayer - online - with strangers,Accept,17,16,52
612,654,2015-02-19 15:30:28,1,0,0,1,0,0,0,Not difficult at all,2,2,2,2,1,PC,20,I play for fun,winning,gold,8,1,0,1,1,1,1,1,0,1,0,3,1,1,1,0,1,1,2,Male,18,Student at school,Multiplayer - online - with strangers,Accept,2,9,15
614,656,2015-02-19 15:30:30,0,0,0,0,1,0,0,Not difficult at all,4,5,4,3,3,PC,35,I play for fun,having fun,Gold,8,0,2,3,3,0,3,0,4,1,1,3,0,0,2,3,0,0,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,1,19,25
615,657,2015-02-19 15:30:30,0,0,0,0,0,0,0,Not difficult at all,6,6,2,6,6,PC,15,I play for fun,improving,the league of legends (plat 5),15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,0,26,0
616,658,2015-02-19 15:30:30,3,3,3,3,3,3,3,Extremely difficult,1,1,1,1,1,PC,50,I play for fun,winning,Challenger,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,21,5,68
617,659,2015-02-19 15:30:46,1,0,0,0,0,1,1,Not difficult at all,1,5,2,5,1,PC,12,I play for fun,having fun,Diamond,20,1,0,1,4,2,0,0,1,3,2,4,1,0,1,1,2,0,1,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,3,14,23
618,660,2015-02-19 15:30:53,2,2,2,1,0,2,1,Not difficult at all,3,5,6,3,2,PC,22,I play for fun,improving,"Unranked, previously Gold V",8,1,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,1,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,10,19,7
619,661,2015-02-19 15:30:54,1,0,0,0,0,0,0,Not difficult at all,4,6,6,6,6,PC,10,I play for fun,having fun,Plat,20,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Male,25,Employed,Multiplayer - online - with strangers,Accept,1,28,4
620,662,2015-02-19 15:30:59,1,0,0,0,0,1,0,Somewhat difficult,6,6,6,6,5,PC,20,I play for fun,having fun,Gold,10,0,2,3,4,4,3,2,3,4,4,4,2,2,4,3,1,1,2,Female,27,Employed,Multiplayer - online - with real life friends,Accept,2,29,46
621,663,2015-02-19 15:31:01,1,3,3,2,0,1,0,Somewhat difficult,2,3,2,3,2,PC,21,I play for fun,having fun,platinum,10,0,1,3,3,2,3,1,2,1,2,2,2,0,1,3,1,0,4,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,10,12,27
623,665,2015-02-19 15:31:03,1,1,0,0,0,2,0,Somewhat difficult,2,2,2,2,1,PC,75,I play for fun,winning,Platinum,5,1,2,2,3,2,4,0,3,4,2,4,0,1,4,3,2,3,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,4,9,40
624,666,2015-02-19 15:31:04,1,1,2,1,0,0,1,Somewhat difficult,3,6,5,3,1,PC,15,I play for fun,having fun,Gold 4,5,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,1,0,2,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,6,18,7
625,667,2015-02-19 15:31:05,1,0,0,1,0,1,0,Not difficult at all,4,4,4,4,4,PC,20,I play for fun,having fun,Platinum,4,1,3,4,4,3,3,3,4,1,1,3,0,2,3,1,0,3,1,Male,19,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,3,20,39
627,669,2015-02-19 15:31:11,1,1,0,0,0,0,0,Very difficult,5,6,6,6,4,PC,20,I play for fun,having fun,Gold,15,2,0,1,2,1,1,0,0,0,1,2,1,0,1,0,2,1,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,2,27,15
628,670,2015-02-19 15:31:12,2,2,2,2,2,0,2,Not difficult at all,6,6,7,6,6,PC,7,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",relaxing,Platinum,0,1,1,1,0,2,1,1,0,0,0,0,1,0,1,1,1,2,4,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,12,31,13
631,674,2015-02-19 15:31:31,3,3,3,3,3,3,3,Very difficult,1,2,2,1,1,PC,20,I play for fun,relaxing,Bronze IV,10,0,1,3,3,0,0,0,4,4,1,0,0,2,0,0,0,1,1,Male,23,Employed,Multiplayer - online - with strangers,Accept,21,7,19
632,675,2015-02-19 15:31:36,1,1,1,1,0,0,1,Somewhat difficult,4,3,4,4,2,PC,35,I play for fun,having fun,Gold 1,15,3,4,2,4,3,4,4,2,4,4,4,3,3,3,3,3,3,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,5,17,56
634,677,2015-02-19 15:31:40,3,1,2,1,0,1,1,Somewhat difficult,2,2,4,2,3,PC,40,I play for fun,improving,platinum,10,0,0,1,1,2,1,1,1,0,2,4,0,1,2,1,0,2,2,Male,21,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,9,13,19
635,678,2015-02-19 15:31:41,0,0,1,0,0,0,0,Not difficult at all,5,5,6,6,5,PC,18,I play for fun,having fun,Gold,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,25,Student at college / university,Multiplayer - online - with real life friends,Accept,1,27,0
636,679,2015-02-19 15:31:44,1,0,1,0,1,2,0,Not difficult at all,5,6,6,7,7,PC,27,I play for fun,having fun,Gold,8,0,2,0,3,0,0,2,3,1,1,4,1,0,2,0,0,1,5,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,5,31,20
640,683,2015-02-19 15:31:51,2,1,2,2,1,2,1,Somewhat difficult,2,2,2,2,2,PC,15,I play for fun,improving,plat,5,2,2,3,3,2,3,3,4,3,3,1,0,1,1,0,0,0,2,Male,22,Employed,Multiplayer - online - with strangers,Accept,11,10,31
641,684,2015-02-19 15:31:49,2,2,1,1,0,2,2,Somewhat difficult,1,1,2,2,7,PC,28,I play for fun,improving,Platinum,0,0,1,0,0,0,2,2,1,0,0,2,0,0,0,1,0,0,2,Male,21,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,10,13,9
642,685,2015-02-19 15:31:55,1,0,1,0,1,2,0,Not difficult at all,6,7,7,6,7,PC,30,I play for fun,improving,Plat,10,0,1,0,2,0,0,0,3,1,0,0,0,0,1,0,0,0,1,Male,22,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,5,33,8
644,687,2015-02-19 15:32:02,3,1,3,1,0,0,0,Very difficult,3,6,2,2,1,PC,25,I play for fun,winning,Platinum,8,2,2,1,4,1,3,1,0,3,2,3,1,0,1,1,0,1,3,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,8,14,26
645,688,2015-02-19 15:32:08,3,3,3,1,0,2,2,Very difficult,1,3,2,1,2,PC,16,I play for fun,improving,Platinum II,35,0,2,1,3,3,3,1,1,2,1,3,3,2,2,1,1,2,2,Male,22,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,14,9,31
646,689,2015-02-19 15:32:08,1,0,1,0,0,1,0,Not difficult at all,2,4,1,4,6,PC,35,I play for fun,having fun,Silver 4,5,0,1,0,1,2,0,3,0,4,0,4,1,0,2,3,0,0,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,3,17,21
648,691,2015-02-19 15:32:14,2,1,2,2,0,2,1,Very difficult,7,1,1,1,1,PC,10,I play for fun,improving,Diamond 5,15,1,1,4,3,1,4,3,4,2,3,4,0,0,3,1,0,4,2,Male,20,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,10,11,38
649,692,2015-02-19 15:32:15,2,3,3,3,1,2,1,Very difficult,2,5,1,1,2,PC,14,I play for fun,improving,Gold,5,0,0,1,3,2,1,2,1,1,1,1,0,0,0,0,0,0,2,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,15,11,13
651,694,2015-02-19 15:32:20,3,3,3,1,0,0,3,Extremely difficult,4,5,4,1,2,"Console (PS, Xbox, ...)",28,I play for fun,having fun,Unranked,8,1,4,4,4,2,4,4,4,2,4,0,1,4,4,4,2,4,1,Male,20,Unemployed / between jobs,Singleplayer,Accept,13,16,52
652,695,2015-02-19 15:32:21,1,0,1,0,2,1,0,Somewhat difficult,6,7,7,7,6,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond 3,6,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,2,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,5,33,6
653,696,2015-02-19 15:32:23,1,1,2,1,0,1,1,Somewhat difficult,1,3,3,1,1,PC,14,I play for fun,having fun,gold,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,Male,25,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,7,9,3
655,698,2015-02-19 15:32:27,1,1,2,0,1,1,1,Somewhat difficult,3,2,4,2,1,PC,25,I play for fun,having fun,Gold,5,0,1,0,2,0,0,1,0,1,0,1,0,0,1,0,0,1,3,Male,19,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,7,12,8
656,699,2015-02-19 15:32:30,0,1,1,1,0,1,0,Not difficult at all,3,3,5,2,6,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Platinum,10,1,2,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,3,Male,22,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,4,19,9
657,700,2015-02-19 15:32:34,0,1,1,2,0,0,0,Not difficult at all,3,5,2,3,3,PC,25,I play for fun,having fun,Division 4,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,Male,25,Student at college / university,Multiplayer - online - with strangers,Accept,4,16,6
658,701,2015-02-19 15:32:35,1,0,2,1,0,0,1,Somewhat difficult,2,3,3,3,5,PC,10,I play for fun,having fun,Gold 1,2,0,0,0,3,0,1,0,2,2,0,1,0,0,1,0,0,2,3,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,5,16,12
659,702,2015-02-19 15:32:38,1,1,3,1,3,2,2,Somewhat difficult,4,3,4,5,5,PC,70,I earn a living by playing this game,winning and improving,Challenger 280 lp,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,Male,19,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,13,21,34
660,703,2015-02-19 15:32:40,1,0,0,0,0,1,1,Not difficult at all,6,5,7,5,4,PC,35,I play for fun,improving,Platinum 2,8,1,1,1,2,1,2,1,0,1,1,1,1,2,0,0,0,1,2,Male,24,Employed,Multiplayer - online - with real life friends,Accept,3,27,16
661,704,2015-02-19 15:32:46,1,0,0,1,0,1,1,Somewhat difficult,3,5,5,2,3,PC,10,I play for fun,"depends, wwinning in rankeds, fun and relaxing in normal / aram",pplatinum,15,1,2,1,2,1,1,4,2,2,1,2,0,2,3,1,3,2,1,Male,21,Employed,"sometimes with friends, sometimes with strangers :)",Accept,4,18,30
662,705,2015-02-19 15:32:47,1,0,0,0,0,1,0,Not difficult at all,4,3,4,5,3,PC,30,I play for fun,winning,Gold 1,10,1,1,0,2,1,1,1,0,1,1,2,0,1,0,1,0,0,2,Male,27,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,2,19,13
663,706,2015-02-19 15:32:54,0,0,0,0,0,0,0,Not difficult at all,4,4,6,2,6,PC,45,I play for fun,having fun,Gold,20,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,0,22,4
664,707,2015-02-19 15:32:56,0,0,0,0,3,1,0,Not difficult at all,7,6,6,7,6,PC,24,I play for fun,having fun,Unranked,1,0,1,2,3,1,1,0,4,4,0,4,1,1,2,1,0,2,1,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,32,27
665,708,2015-02-19 15:33:02,0,0,0,0,0,1,0,Not difficult at all,5,6,6,6,6,PC,20,I play for fun,winning,gold,12,0,0,0,0,1,0,1,1,0,0,2,1,0,1,0,0,0,5,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,1,29,7
667,710,2015-02-19 15:33:03,1,0,0,1,0,1,0,Not difficult at all,5,6,6,4,5,PC,6,I play for fun,having fun,Platinum ,8,1,2,1,2,1,1,2,3,0,0,0,0,1,2,2,0,1,2,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,3,26,19
668,711,2015-02-19 15:33:08,1,0,1,0,0,1,1,Not difficult at all,3,5,3,1,2,PC,18,I play for fun,having fun,Silver,5,1,1,0,1,2,2,1,1,2,1,2,1,0,2,1,1,1,2,Male,20,Employed,Multiplayer - online - with strangers,Accept,4,14,20
669,712,2015-02-19 15:33:08,1,2,1,0,0,1,1,Not difficult at all,6,5,5,3,2,PC,21,I play for fun,having fun,Silver II,4,4,4,2,2,4,3,4,2,2,3,2,1,0,3,4,2,3,2,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,6,21,45
670,713,2015-02-19 15:33:22,0,0,0,1,0,2,0,Somewhat difficult,5,6,6,5,6,PC,15,I play for fun,winning,Platinum 5,10,2,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,4,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,3,28,7
671,714,2015-02-19 15:33:23,2,0,0,1,0,2,0,Somewhat difficult,2,3,3,3,2,PC,21,I play for fun,winning,gold 2,16,1,2,0,1,1,2,1,0,0,0,3,0,1,2,1,0,1,4,Male,24,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,5,13,16
672,715,2015-02-19 15:33:23,1,0,1,1,0,1,0,Somewhat difficult,6,5,6,5,6,PC,8,I play for fun,improving,gold,10,0,1,2,3,2,3,1,2,2,2,1,0,2,1,1,1,0,1,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,4,28,24
673,716,2015-02-19 15:33:33,1,0,0,1,1,1,0,Somewhat difficult,3,5,5,5,3,PC,25,I play for fun,winning,Platinum,19,1,2,1,3,3,2,0,2,4,2,3,2,0,2,3,2,4,2,Male,25,Employed,Multiplayer - online - with strangers,Accept,4,21,36
674,717,2015-02-19 15:33:37,0,0,0,0,0,1,0,Not difficult at all,5,6,6,6,1,PC,15,I play for fun,improving,silver,15,1,1,2,2,1,0,0,1,2,0,1,0,0,1,1,0,3,2,Male,25,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,1,24,16
